city,region,name,starRating,userRating,num_staying_nights,checkin,price,year
Jakarta,"Senayan, Jakarta",The Sultan Hotel & Residence Jakarta,5.0,8.6,3,2022-12-30,2391767,2022
Jakarta,"Karet Semanggi, Jakarta",Aryaduta Suite Semanggi,4.0,8.5,3,2022-12-30,2400787,2022
Jakarta,"Cilandak Timur, Jakarta",Aloft South Jakarta,4.0,8.9,3,2022-12-30,1294700,2022
Jakarta,"Senayan, Jakarta","The Langham, Jakarta",5.0,8.8,3,2022-12-30,7830031,2022
Jakarta,"Senayan, Jakarta","Hotel Mulia Senayan, Jakarta",5.0,8.7,3,2022-12-30,5445000,2022
Jakarta,"Kebagusan, Jakarta",ASTON Priority Simatupang & Conference Center,4.0,8.6,3,2022-12-30,1314463,2022
Jakarta,"Petojo Utara, Jakarta",Merlynn Park Hotel,5.0,8.6,3,2022-12-30,1550000,2022
Jakarta,"Karet Semanggi, Jakarta",Ascott Sudirman Jakarta,5.0,8.6,3,2022-12-30,3658560,2022
Jakarta,"Menteng, Jakarta","The Hermitage, a Tribute Portfolio Hotel, Jakarta",5.0,8.9,3,2022-12-30,4460060,2022
Jakarta,"Ancol, Jakarta",Mercure Convention Center Ancol,4.0,8.4,3,2022-12-30,3648333,2022
Jakarta,"Pasar Baru, Jakarta",Hotel Borobudur Jakarta,5.0,8.6,3,2022-12-30,2572001,2022
Jakarta,"Ancol, Jakarta",Discovery Ancol,4.0,8.2,3,2022-12-30,2691667,2022
Jakarta,"Pasar Baru, Jakarta",Yuan Garden Pasar Baru,4.0,8.5,3,2022-12-30,1105333,2022
Jakarta,"Slipi, Jakarta",Hotel Menara Peninsula,4.0,8.4,3,2022-12-30,1006000,2022
Jakarta,"Senayan, Jakarta","The Ritz-Carlton Jakarta, Pacific Place Hotel",5.0,9.0,3,2022-12-30,8167500,2022
Jakarta,"Thamrin, Jakarta",Grand Hyatt Jakarta,5.0,8.7,3,2022-12-30,9377500,2022
